Username,Konten,Lokasi
PoetriRebec,"“Assalamu'alaikum Warahmatullahi Wabarokatuh. Pak Ridwan Kamil yang saya hormati Gubernur Jawa Barat. Saya mohon maaf kalau menghubungi bapak melalui Instagram, - #BersamaJuara Ridwan Kamil",
PoetriRebec,"Sebelumnya, pada akun @luckyhakimofficial, Lucky Hakim memposting video yang berjudul “Surat Terbuka kepada Yth. Bapak Ridwan Kamil Gubernur Jawa Barat”. Pada video itu, Lucky mengaku tidak tahu bagaimana cara menghubungi Kang Emil,. #BersamaJuara",
PoetriRebec,"“Ok, kang. Sy kontak lagi. Kemarin ajudan berkali-kali menghubungi ga diangkat2,” begitu tulis Ridwan Kamil dalam akun @luckyhakimofficial, Sabtu, 18 Februari 2023. #BersamaJuara Ridwan Kamil",
PoetriRebec,Ridwan Kamil merespons surat terbuka Wakil Bupati Indramayu Lucky Hakim. Ridwan Kamil bilang akan kembali menghubungi Lucky Hakim yang mengaku tidak tahu bagaimana cara menghubungi dirinya. #BersamaJuara,
PoetriRebec,"Ridwan Kamil Respons Lucky Hakim di Media Sosial: Ok, kang. Sy kontak lagi
https://t.co/TerGJRsJod
#BersamaJuara",
Motekar72,بفضل من الله، في جاوا الغربية كل يوم إنجاز جديد، يتم رسمه ووضع خططه ومتابعته حتى نجاحه على يد سمو حاكم جاوا الغربية رضوان کامل @ridwankamil حفظه الله. https://t.co/rUCE8L8A9X,West Java
fikri_arif,"@Hmdn_633 @ysseribrahim @officialvpc Saya bilang apa.lebih nyaman dan tertib laga kandang @persib usahakan di Stadion GBLA saja.
Harus ada pengertian antara @PSSI @pt_lib @KEMENPORA_RI @KemenPU dan manajemen @persib 
Untuk piala dunia fokus saja di SIJALAK HARUPAT.
@erickthohir @toptobs @officialvpc @ridwankamil",Tangerang
PoetriRebec,"Nama yang diberikan oleh orangtuanya, Ardipan dan Amsi, bermakna dan penuh harapan agar menjadi anak yang tegar, segar, menghidupkan dan penuh kasih sayang. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Dikutip dari laman Museum Indonesia, Inggit Garnasih lahir di Desa Kamasan, Banjaran, Kabupaten Bandung, 17 Februari 1888. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Bu Inggit punya wasiat yang belum terwujud. Bu Inggit punya cita-cita untuk punya klinik lansia. Bulan depan kami akan meresmikan Klinik Lansia Inggit Garnasih,"" terang Ridwan Kamil. #BersamaJuara",
PoetriRebec,Dalam waktu dekat Pemerintah Provinsi Jawa Barat juga akan mewujudkan cita-cita Inggit Garnasih. Hal tersebut adalah dengan meresmikan Klinik Lansia Inggit Garnasih dan rencana pembangunan Patung Bung Karno. #BersamaJuara Ridwan Kamil,
PoetriRebec,"Hal ini khususnya dalam mendampingi kehidupan pribadi Sukarno. ""Kehormatan kepada Ibu Inggit sebagai istri Bung Karno. Saat Bung Karno lagi susah-susahnya yang membersamai itu adalah Bu Inggit,"" kata Ridwan Kamil. #BersamaJuara",
PoetriRebec,Pengusulan Inggit Garnasih sebagai pahlawan nasional ini menjadi yang ketiga kalinya. Ridwan Kamil menilai sosok Inggit Garnasih punya peran penting dalam perjalanan kemerdekaan Republik Indonesia. #BersamaJuara,
PoetriRebec,Seminar tersebut adalah tindak lanjut dari aspirasi masyarakat dan merupakan bagian penting dalam pemenuhan syarat ketentuan perundang-undangan dalam pengusulan gelar pahlawan nasional. #BersamaJuara Ridwan Kamil,
PoetriRebec,Acara ini dihadiri oleh Kepala Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat Benny Bachtiar dan dibuka oleh Gubernur Jawa Barat Ridwan Kamil. #BersamaJuara,
PoetriRebec,"Dikutip dari laman resmi Disparbud Jabar, Minggu (19/2/2023), Seminar Nasional Pengusulan Ibu Inggit Garnasih sebagai Calon Pahlawan Nasional dari Provinsi Jawa Barat Tahun 2023 dilakukan di Hotel Savoy Homan, Bandung , Jumat, 17 Februari 2023. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Semoga cita-cita dan kehormatan kepada Ibu Inggit ini bisa diwujudkan. Aamiin. Hatur Nuhun,"" tutup pria yang akrab disapa kang Emil ini. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Juga membelikan buku-buku yang membuat Bung Karno menjadi individu yang kuat dan cerdas intelektualitasnya,"" lanjut kang Emil. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Kang Emil, begitu ia akrab disapa, membagikan sebuah unggahan yang menunjukkan potret Inggit Garnasih dan Sukarno di masa lalu. Ia juga menyertakannya dengan lagu latar bertajuk ""Hero"" yang dinyanyikan oleh Mariah Carey. #BersamaJuara Ridwan Kamil",
tentasa,@gaellejiw @ridwankamil ow ow ow adu sama @ganjarpranowo,he/him — jenchulichaeng.
jabarprovgoid,"Terbaik Turunkan Kemiskinan dan Kabar Jabar Pekan Ini

@ridwankamil @PaUuRuzhanul @SWangsaatmaja 

#jabarjuara #indonesiajuara https://t.co/9reUmPOawt","Bandung,Indonesia"
CadaJaenal,@ridwankamil Setuju,
squadgolkar,"Pemerintah Provinsi (Pemprov) Jawa Barat, Ridwan Kamil menyebutkan Juni 2023 mendatang dirinya akan menjadi Gubernur DKI Jakarta di depan PJ Gubernur DKI Jakarta

https://t.co/jveg7PYg9B

#golkar #golkarpedia #airlanggahartarto #golkarindonesia #golkaronsosmed #partaigolkar https://t.co/TENJzPyEdc",
PoetriRebec,"Proyek fase 1 terbagi lagi menjadi stage 1 sepanjang 24,5 kilometer dan stage 2 sepanjang 9,2 km melalui jalur Tomang, Dukuh Atas, Senen, Perintis hingga Medan Satria, Kabupaten Bekasi. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Pembangunan MRT jalur timur barat ini terbagi menjadi dua fase berdasarkan wilayah, yaitu fase 1 mencakup area DKI Jakarta dan fase 2 meliputi Banten dan Jabar. #BersamaJuara Ridwan Kamil",
PoetriRebec,"4. Pembangunan masuk fase tiga - Lebih lanjut, proyek pembangunan ini masuk ke tahap pembangunan MRT fase 3. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Proyek pembangunan MRT East–West diperkirakan menelan anggaran sekitar Rp160 triliun. Jika sudah terbangun, setiap harinya diprediksi MRT ini dapat mengangkut hingga 250.000 orang dari Bekasi ke Jakarta. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Saya hadir di sini memastikan komitmen membangun MRT untuk semua. Dan nanti 2024 sudah mulai pembangunan,"" ujar Heru. #BersamaJuara Ridwan Kamil",
PoetriRebec,"3. Pemprov DKI Jakarta juga sudah berkomitmen - Sementara itu Penjabat Gubernur DKI Jakarta Heru Budi Hartono mengatakan, kehadirannya tiada lain untuk memastikan komitmen pembangunan transportasi massal. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Kata Emil, MRT Bekasi juga bisa mengurangi beban ekonomi dan menjadikan ekonomi lebih maju karena pergerakannya lebih cepat. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Mudah-mudahan dalam hitungan tahun yang tidak terlalu lama, kita harapkan puluhan ribu warga Kota Bekasi yang biasa naik mobil bisa beralih ke transportasi massal,"" ungkapnya. #BersamaJuara Ridwan Kamil",
PoetriRebec,"2. MRT juga mengurangi beban ekonomi - Emil berharap, adanya moda transportasi ini bisa membuat warga Bekasi beralih menggunakan transportasi massal. Sehingga, penggunaan kendaraan pribadi dapat diminimalisir. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Ini adalah arahan Bapak Presiden untuk memulai pembangunan MRT jalur barat ke timur, baratnya dimulai dari Provinsi Banten Balaraja, DKI di Tomang, masuk ke Kota Bekasi dan terus ke Cikarang, Kabupaten Bekasi,"" ujar Emil melalui keterangan resmi. #BersamaJuara Ridwan Kamil",
DenDBZ,@bambangmulhadi @Aryprasetyo85 @ridwankamil polisi sendiri aja sibuk ngurusin masalah internal kagak beres beres,pasar malam 24 jam :D
Felixcahya,"Dadang menjelaskan, ada tiga arah yang jadi penghambat kemacetan di wilayah Bojongsoang. Salah satunya arus kendaraan yang akan menuju ke daerah Baleendah, Banjaran serta Ciparay. #BersamaJuara Ridwan Kamil","Jakarta, indonesia"
AnyoezKozmex,@ridwankamil Setuju pak,
DenDBZ,@Aryprasetyo85 @ridwankamil setelah keluar dia akan diburu oleh beberapa kawanya terus dan terus lahir bergenerasi saling tebas hahah ridwan kamil mana paham,pasar malam 24 jam :D
yurapingky,@tanyarlfes Ini klo lapor pak ridwan kamil lamgsung di up pasti.,
PoetriRebec,"Lebih dari itu akan berdampak pada sektor perekonomian, dan memberikan pelayanan kepada masyarakat, tandasnya. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Dikatakan orang nomor satu di Kabupaten Bandung ini, kerja sama terkait dukungan pembangunan infrastruktur jembatan tersebut tidak semata-mata untuk menghubungkan dua wilayah yang ada di kawasan Cikoneng dan Rancaoray saja. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Saya berharap melalui kegiatan ini, selain terjalin silaturahmi juga menguatkan kerja sama pemerintah daerah dengan unsur swasta dalam konteks pentahelix untuk berkontribusi dalam pembangunan, tutur Dadang. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Di saat bersamaan, Pemkab Bandung - PT Pesona Mitra Kembar Mas melakukan penandatangan kesepakatan bersama soal pembangunan jembatan Jalan Cikoneng-Rancaoray Kecamatan Bojongsoang. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Selain itu, ada juga warga atau arus kendaraan penduduk sekitar Bojongsoang dan sekitarnya. Termasuk di daerah Telkom. Inilah (Flyover Bojongsoang) salah satu solusinya, tegasnya. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Dadang menjelaskan, ada tiga arah yang jadi penghambat kemacetan di wilayah Bojongsoang. Salah satunya arus kendaraan yang akan menuju ke daerah Baleendah, Banjaran serta Ciparay. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Hal ini penting untuk mengurai kemacetan di Kabupaten Bandung, terutama di Kecamatan Bojongsoang, jelasnya. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Oleh karena itu, Dadang meminta Dinas Pekerjaan Umum dan Tata Ruang (DPUTR) Kabupaten Bandung segera membuat usulan terkait pembangunan flyover di Kecamatan Bojongsoang itu. #BersamaJuara Ridwan Kamil",
PoetriRebec,"“Saya ingin ada flyover di wilayah Bojongsoang yang nanti aksesnya menghubungkan Baleendah”, kata Dadang saat menghadiri diskusi rencana dibukanya jalan tembus lewat Perumahan Buah Batu Square di Club Hause Lt. II Perumahan Buah Batu Square. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Dadang Supriatna mengatakan, pembangunan Flyover Bojongsoang penting untuk mengurangi kemacetan yang kerap terjadi di Jalan Raya Bojongsoang dan merupakan akses jalan ke Kota Bandung. #BersamaJuara Ridwan Kamil",
AmandaH28769621,"Ridwan Kamil, sosok pemimpin aspiratif, inovatif dan dekat dengan rakyat #RelawanKebangsaan24","Cirebon, Jawa Barat"
PoetriRebec,"Tak hanya dimanfaatkan dengan berswapoto, banyak juga wisatawan yang beribadah di sekitaran luar masjid sambil menunggu pintu masjid dibuka. Pintu masjid dibuka saat pelaksanaan salat lima waktu. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Salah satunya Sri Rahayu yang datang sengaja ke Masjid Raya Al Jabbar. Dirinya sangat tertarik dengan kemegahan mesjid tersebut. “Sengaja datang pas libur Isra Miraj, ingin lihat kemegahan masjid ini,” kata Sri. #BersamaJuara Ridwan Kamil",
PoetriRebec,Tak sedikit para wisatawan yang datang ke masjid ini mengabadikan moment keindahan di sekitar masjid ataupun taman dengan berswafoto. #BersamaJuara Ridwan Kamil,
PoetriRebec,Mereka sengaja datang ke Masjid Raya Al Jabbar untuk melihat kemegahan dan keindahan dari masjid terbesar di Jawa barat ini. #BersamaJuara Ridwan Kamil,
PoetriRebec,Mereka datang secara rombongan dengan menggunakan bis pariwisata maupun mobil pribadi. Kebanyakan wisatawan yang datang ke Masjid Raya Al Jabbar ini adalah rombongan ibu-ibu pengajian. #BersamaJuara Ridwan Kamil,
PoetriRebec,Sejak Sabtu (18/2/2023) para wisatawan dari berbagai daerah mulai berdatangan dan memadati kawasan Masjid Raya Al Jabbar ini. #BersamaJuara Ridwan Kamil,
PoetriRebec,"Mereka memanfaatkan libur Isra Miraj kali ini untuk melihat kemegahan masjid yang baru diresmikan oleh Gubernur Jawa Barata, Ridwan Kamil pada akhir tahun 2022. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Objek wisata religi Masjid Raya Al-Jabbar yang berada di kawasan Cimincrang, Kota Bandung, Jawa Barat ramai dipadati oleh wisatawan dari berbagai daerah pada libur Isra Miraj. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Libur Isra Miraj, Wisatawan Banyak yang Berkunjung ke Masjid Al Jabbar
https://t.co/4nJWpfGZ7D
#BersamaJuara Ridwan Kamil https://t.co/en8A96x9Sl",
nidiyouuuu58,@tanyakanrl @ridwankamil,
golkarpedia,"Wacana Maju Pilgub DKI Jakarta, Ridwan Kamil: Belum Ada Rencana, Fokus Jawa Barat Dulu
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden
https://t.co/Xtk8dAzsV0","DKI Jakarta, Indonesia"
YuniAriane,@Outstandjing @ridwankamil dan omongkosong adalah dwitunggal jawa barat.,"Gotham Van Java, Indonesia"
raa_ursakura,pak ridwan kamil :),kayangan 🌷|| konohagakure 🍃
fikri_arif,"@simamaung Biar aman dan tertib,saya berharap laga kandang @persib vs arema fc &amp; lawan klub lainya di gelar di stadion GBLA dan bisa didukung langsung bobotoh.
@teddy_tjahjono @farhanpenyiar @ridwankamil @erickthohir @toptobs @KEMENPORA_RI
Stadion SIJALAK UNTUK PIALA DUNIA
GBLA UNTUK PERSIB",Tangerang
raihanaulia_rar,"Gubernur Jabar: Iwan Bule
Gubernur DKI: Ridwan Kamil
Gubernur Banten: Wahidin Halim

duarrr",Bandung
mattdilaga,"@PRFMnews Segera tertibkan @ridwankamil @dinsosjabar @PariwisataJabar itu para pengamen dan kang parkir liar di lokasi pariwisata jabar. Pendatang dari luar Jabar pada mengeluh biaya parkir dan banyak pengamen yg ""maksa""",indonesia
IechaNaasha,"""Ditemani Ibu Inggit, di tahun 1920-an Bung Karno memulai melakukan pergerakan politik dan melawan Pemerintah Kolonial Belanda sehingga akhirnya ditangkap dan dipenjara di Penjara Banceuy dan Sukamiskin di Bandung,"" lanjut Ridwan Kamil.
#BersamaJuara",Paris
IechaNaasha,"Ridwan Kamil Dukung Usulan Inggit Garnasih Jadi Pahlawan Nasional
https://t.co/wZ6v4ZQATz
#BersamaJuara",Paris
heyimrizwan,@txtdaribandung @DelisMahmudah1 cc @PRFMnews @infobdg @ridwankamil ameh rame...,flower city
SeputariNews,"Lucky Hakim mundur sebagai Wakil Bupati Indramayu, Ridwan Kamil akan mengajak Lucky Hakim bermusyawarah sesuai arahan Mendagri. BEL

#RidwanKamil #LuckyHakim #undurkandiri #Musyawarah #Indramayu #JawaBarat #RCTI #seputariNews #NEWS https://t.co/N0axLplpOK",MNC News Center Lt.11 Jakarta
hiteknodotcom,"Viral Kucing Belang Setia Menunggu Makam Anak Ridwan Kamil, Netizen Dibuat Kagum https://t.co/xkzivcL4Xm",
CalaonManten,"@ridwankamil Duuhh jd pengin ky bung kirno nii, ngekos macarin ibu kosnya trs tau2 jd pleciden.",
Isadoko,@ridwankamil Setuju,
masindraaaa_,"@d3d1s @gicataoism @ridwankamil Bener bgt kang, rumah saya sekitaran pabrik semen klo mau ke arah panggleseran atau gsi sumpah bikin mobil sama motor rusak.. klo ga kepepet banget males lewat sana tapi itu akses satu2nya, mobil gede gede semua pula. 

Mau heran tapi ini sukabumi kang, pemerintah nya buta.",
bonie0959,"@ridwankamil , fyi .",Tangerang
angedespoir5,"Bhineka tunggal ika..👍

@ridwankamil https://t.co/7wK6fUH99L",Indonesia
DariKeyword,Hidup itu pilihan. Ketidaksamaan pilihan tidak harus selalu saling menjelekkan. (Ridwan Kamil),
kompascom,"Beberapa waktu lalu, Wakil Bupati Indramayu Lucky Hakim disebut Gubernur Jawa Barat (Jabar), Ridwan Kamil sulit dihubungi. https://t.co/5jdM14UM01",Jakarta
petrichorise,GUE KHAWATIR BANGET TOLONG DITAG SI BAPAK @ridwankamil,Hall of shame
AdietRahmayadi,@_kadafimoch @ahporschee @tanyakanrl @ridwankamil sudah ditanggapi kok di instagramnya pak lucky,"Cianjur, Indonesia"
_kadafimoch,@ahporschee @tanyakanrl Di bantu pak @ridwankamil,Jakarta Capital Regional
d3d1s,"@gicataoism @masindraaaa_ @ridwankamil akan tetap menyuarakan keluhan masyarakat Sukabumi, hampir semua pembangunan besar MANGKRAK --- tol bocimi mangkrak, jembatan pamuruyan mangkrak, jalur ganda KA mangkrak, bandara mangkrak,  jalan Palabuhan II sudah seperti kubangan kebo, CSR pabrik semen katanya besar?","ÜT: -6.906502,106.889671"
inaaadp,@matchabann @tanyakanrl @ridwankamil,"Klaten, Jawa Tengah"
GunjiSaiba,@ridwankamil Gelar pahlawannnya sudah diwakilkan oleh bung karno.,
Miduk17,"Tanpa PIDATO2, tanpa lukisan KATA2, tanpa mengundang RATUSAN wartawan

Pak Heru kini memulai pembangunan MRT Jakarta-Bekasi bersama pak Ridwan Kamil

Momentum ini sekaligus menegaskan bahwa Transportasi MASSAL hanya berinovasi BESAR di era Sutiyoso, Jokowi, Ahok dan pak Heru https://t.co/GX0NpZbE8k","DKI Jakarta, Indonesia"
yourbaeee23,@ridwankamil,
Dediy_orlando,@belumsehat12 @ridwankamil Betul kang harusnya keluarga Almarhum J jangan malah ambil untung yang ada simpati masyarakat asalnya tinggi jadi luntur,"Cimahi Selatan, Indonesia"
AmandaH28769621,"Ridwan Kamil sebagai sosok ideal membangun bangsa dan negara ini, siap dukung untuk Presiden RI 2024 #RelawanKebangsaan24","Cirebon, Jawa Barat"
Dediy_orlando,@ridwankamil Setuju mangga,"Cimahi Selatan, Indonesia"
d_sukatali,"Rajaban di Mesjid De Asmala Desa Sukatali Kecamatan Situraja Kabupaten Sumedang.

@ridwankamil 
@PaUuRuzhanul 
@dpmdesajabar https://t.co/9lnogrW2Nt","Sumedang, Jawa Barat"
d_sukatali,"Rajaban di Mesjid Nurul Anwar , Jum'at (17/2/2023) Desa Sukatali Kecamatan Situraja Kabupaten Sumedang.
@ridwankamil 
@PaUuRuzhanul 
@dpmdesajabar https://t.co/lTeqF4B1FX","Sumedang, Jawa Barat"
bandung_aktual,"Masjid Raya Al Jabbar ""setengah masjid setengah tempat wisata"". Setengah2 jadi nanggung. Info: Minggu sore toilet ditutup karena kehabisan air. Banyak anak &amp; ibu  BAK/BAB di celana. @ridwankamil https://t.co/Xd3So8eRMG",Bandung
asianarivera,oke #BersamaJuara #RidwanKamil,
asianarivera,thx my God #BersamaJuara #RidwanKamil,
ibnmuni,@ridwankamil pahlawan yang sudah ada saja doktrinnya masih rancu.,"Kota Banda Aceh, Nangro Aceh D"
4LF4TH78,"@disdik_jabar @ridwankamil @PaUuRuzhanul @humasjabar Assalamu'alaikum. Mohon bantuan gimana mencari data hasil ppdb sman kota sukabumi tidak ada data nilai terendah dan tertingginya tahun 2022. Tidak seperti di, provinsi jatim bisa diakses oleh masyarakat. Servernya selalu error.",
dedieasy,@CNNIndonesia selamat ya kang @ridwankamil semoga thn dpn bisa mempertahankan.,
TradeInves,"@eunikero @dyleriangga @p3n7l7h @ridwankamil Habis ini bisa aja pihak RS juga balik laporkan pemvideo karena ada UU untuk tidak mengambil foto/ video di Faskes baik Puskesmas, Klinik maupun RS.

Bakal seru ini",Wakandanesia
sukaspyh,"@txtdaribandung pak @ridwankamil tolong ini, buat speak up atas tindakan yg gurunya lakuin tu susah banget. trs ini malah disepelein sm org yg dia kira bisa ngelindungin dia. Ilmu sikologi buat dia jd guru BK kemana? 🥲",hatimu
TradeInves,"@hansbacara @nadeennaa @p3n7l7h @ridwankamil Habis ini bisa aja pihak RS juga balik laporkan pemvideo karena ada UU untuk tidak mengambil foto/ video di Faskes baik Puskesmas, Klinik maupun RS.",Wakandanesia
Giosu80900753,@ridwankamil istri pak Ridwan bagaimana?,"Jawa Timur, Indonesia"
Gnsrml01,"@ridwankamil Dibelakang suami yang kuat dan hebat ada istri yang tegar dan juga sabar. Perjuangan ibu inggit ini berada dibelakang layar, jadi tak terlihat fisik namun  hasil. Jika hal ini memberi inspirasi bangsa, maka itu yang terbaik.",
kluxkluk,@fennidua @ridwankamil,Uzbekistan
mang_uciem,Aya aya wae @disdik_jabar @disdik_bandung @PRFMnews @ridwankamil,
AmandaH28769621,Rapatkan barisan bersama relawankebangsaan24 kawal dan menangkan Ridwan Kamil sebagai presiden RI 2024,"Cirebon, Jawa Barat"
pak_lambe,anies baswedan tolol dan ridwan kamil https://t.co/FqlauUnGVf #HTIDukungAnies,"West Sulawesi, Indonesia"
senjatamisil,@imlazzguy ridwan kamil,21+
SutedjaLivia,@ridwankamil https://t.co/sZ4PDceBjf,
SutedjaLivia,@ridwankamil Intinya su guru temen saya mah anaknya memang dipaksa oleh Tuhan YME untuk jadi... jadilah seorang anak ke3 dari guru renang.. hmm Ibu Ende temen saya juga ga mau anak..,
SutedjaLivia,"@ridwankamil Ada guru renang bukan yang punya kantor tapi tutup,dibilang tutup mau dilapor saya Pa,pencemaran nama baik. Cuman curious,cek ricek!?!",
SutedjaLivia,@ridwankamil Lama banget...  told pa panda juga,
Ajebah01,"Ridwan Kamil : Lucky Hakim susah dihubungi. Siaap Kang, nanti saya hubungkan .. (Lucky Hakim mundur wabup)

Maudi Ahyundai Rans Pasar Wonokromo Minggu Sangiran Rasulullah SAW Nabi Muhammad Jerome Brunei Biduran

https://t.co/3NhpMKOUtz",
harismaldini,@marsdimboy @ridwankamil Sami kang ripuh,
_sastradipura_,"YANA MULYANA, HERDIAT, HAMENGKUBUWONO X, RIDWAN KAMIL.
Yang daerahnya pernah aing tinggalin aja.",
Arietea26009621,@CNNIndonesia Jabar juara ternyata slogan segalanya @ridwankamil,
AnzaApdhana1,"“Kereta api cepat perjanjiannya Juni masih on time,” ujar Ridwan Kamil kepada wartawan di Gedung Sate, Bandung, Jawa Barat.
#BersamaJuara",
AnzaApdhana1,"Ridwan Kamil Akan Resmikan Penamaan Jalan Provinsi Di Ruas Jalan Cibarusah-Mekarmukti Kabupaten Bekasi Menjadi Nama KH. Raden Ma’mun Nawawi
#BersamaJuara 
https://t.co/jRzjWLLVZV https://t.co/IZErLlBrBK",
EdanSepurID,"Cerita #DisiplinPerlintasan di JPL Cimindi, Sabtu kemarin (18/2).

@dishub_jabar @mas_didiek  @infobdg @PRFMnews @btp_bandung @perkeretaapian @kemenhub151 @AtcsBandung @ridwankamil @halo_bandung @humasbandung_ @KAI121 @keretaapikita @CommuterLine  @txtdaribandung @infocimahico https://t.co/9JIFnw6cGH",Indonesia
veldora04072566,@CNNIndonesia Colek @ridwankamil,
Ope36561534,@ridwankamil Nn,
Ope36561534,@ridwankamil N.... Nn,
Ope36561534,@ridwankamil Nn2,
dezoelp,@Nabillahwatii @Tarmizi___ @nabillahmahrita @ridwankamil hehe.. survey mah bisa di akali. ttp fakta dilapangan hasilnya mah..,"Bandung, West Java"
kuatbacacom,"""Belum sarapan Pak Heru, mata saya ke Pak Heru terus jadi di otak saya DKI, DKI, DKI, mohon maaf. Tandanya saya sangat menghormati tamu gitu ya,"" ujarnya.
#kuatbaca #kuatbacacom #kangemil #ridwankamil @ridwankamil 

https://t.co/zHtxJdAPFU",
SawahBayawak,@CNNIndonesia Selamat kang @ridwankamil,
SatriadiAdi17,"@ridwankamil Setuju pak,krn dari daerah lain begitu menghargai jasa beliau,masa dr daerah sendiri tidak,disamping itu,makin banyak kita ingat dan menghargai jasa org2 terdahulu,diharapkan semakin mensyukuri akan kondisi sekarang",
ginanjarfindana,@ridwankamil Soeharto aj,INA
teguhfriend,"@YaMulBuBu @ridwankamil Hadeuhhh... ya bu Inggit sampe jualan bedak, dampingi bung Karno ke pembuangan, ngurus Bung Karno sampe jadi tokoh pergerakan yang dikenal, itu juga perjuangan, Bapak...",
jpnncom,"#BeritaJabar
2 Menit 30 Detik Lucky Hakim Untuk Ridwan Kamil
@ridwankamil
#ridwankamil
#luckhakim 
https://t.co/kocxtjuoke",Indonesia
BentengSumbar,"Dicari-Cari Ridwan Kamil Usai Mundur Mendadak Dari Jabatan Wakil Bupati Indramayu, Lucky Hakim Bikin Surat Terbuka

https://t.co/U9KpilleHv",Padang
mutiara1277,"@ridwankamil Bagus""aja sih kang Emil, asalkan jgn mengganti yg sudah ada, jgn sampai seperti Anis yang udah ada di ganti nama empok...tpi Klo mau memperbaiki Jabar, lebih fokus harga murah BBM murah listrik murah ledeng murah beras murah,dan nisn siswa jgn sampai tdk valid berujung tdk kuliah",
BabaNomiss,@ridwankamil Sebenarnya yang lebih pantes itu ibu nya bung Karno karena dari ibu nya lah bung Karno lahir..,
AnzaApdhana1,"Sebagai pendatang baru, ia (Ridwan Kamil) menghormati bahwa Golkar bakal mengusung Airlangga sebagai capres di Pemilu 2024. 
#BersamaJuara",
AnzaApdhana1,"Sementara, ketika ditanya keinginannya apakah bakal memilih untuk maju menjadi cawapres atau cagub DKI Jakarta, Kang Emil (Ridwan Kamil) mengaku bakal mengikuti ketentuan yang ada di Golkar.
#BersamaJuara",
AnzaApdhana1,"Meski begitu, Ridwan Kamil mengaku bahagia. Ia mengaku tidak banyak melakukan hal di DKI Jakarta tetapi sejumlah lembaga survei menunjukkan peluangnya maju jadi cagub justru terbuka lebar.
#BersamaJuara",
AnzaApdhana1,"""Takdir itu banyak kalau bagi saya. Tapi, berdasarkan pengalaman, (langkah politik) tak bisa ditebak dari jauh-jauh hari. Semua berubah di H-7, H-5, H-1,"" ujar Ridwan Kamil. 
#BersamaJuara",
AnzaApdhana1,"Ia mengaku popularitasnya di media sosial ampuh untuk menarik masuk kader baru. Kang Emil (Ridwan Kamil) menyebut, ada 12 tokoh publik yang sudah bersedia bergabung ke Partai Golkar. 
#BersamaJuara",
AnzaApdhana1,"""Saya bisa pengaruhi dengan postingan dua hari sekali, pasti adalah nyangkut-nyangkut satu persen, lima persennya,"" kata dia  (Ridwan Kamil).  
#BersamaJuara",
AnzaApdhana1,"Kang Emil (Ridwan Kamil) pun percaya diri bisa banyak meraih pemilih baru bagi parpol berlambang pohon beringin itu. Kang Emil mengaku memiliki modal dari 30 juta pengikutnya di berbagai platform media sosial. 
#BersamaJuara",
AnzaApdhana1,"Kang Emil (Ridwan Kamil) dikenalkan sebagai kader baru langsung oleh Airlangga pada 18 Januari 2023 lalu. Golkar membutuhkan sosok Kang Emil untuk bisa memenangkan suara di wilayah Jabar. 
#BersamaJuara",
AnzaApdhana1,"Namun, pada akhirnya Airlangga langsung memberikan kepercayaan kepada Ridwan Kamil sebagai Wakil Ketua Umum di bidang penggalangan pemilih. 
#BersamaJuara",
AnzaApdhana1,"Ridwan Kamil Ungkap 12 Tokoh Publik Siap Ikuti Jejaknya Gabung Golkar
#BersamaJuara https://t.co/ryU1Po6HHT",
eslajuwita,@ridwankamil Saya setuju pak ')),Indonesia
M_Zulfan_Z,"@alrezasya @gibran_tweet @ridwankamil Prestasi RK: investasi 175T (1T = 1000 loker), Ciliwung Bersih, SMA Gratis, 5 Bendungan, 16 Flyover &amp; Underpass, 0 Desa Tertinggal, 1130 Desa Sejahtera, Quick Response, Super Apps, Petani Milenial, Desa Wisata, Saber Hoaks, Saber Pungli, Kredit Mesra, Pikobar, Renovasi Pasar, dll",SMS Only: 081388998480
IwanKur35549989,@CNNIndonesia Mohon atensinya pak @ridwankamil ...... Harus nuhun.,
